objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,test001.jpg,,,"Administration Building, University of Idaho, No. 30",Pacific Photo Co.,1910-10-14,"Photographic postcard of the University of Idaho administration building in Moscow, Idaho.",universities;buildings;campuses;picture postcards,"Moscow, Idaho",46.725562,-117.009633,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",pg_9_12_01bl,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,American_Shorthair.jpg,,,American Shorthair Cat Breed,Soninha,2013-06-05,Photograph of a cat breed: American Shorthair (Portuguese),Cat,,,,http://sogatasegatinhos.blogspot.com/2013/06/american-shorthair.html,,Image ,image/jpeg,port,Public domain,
coll003,,v=GX1imkeYlbM,,"American Shorthair Cats, First Year",Marjie C,2013-06-05,Video of American Shorthair cats on their first year,American Shorthair Breed,,,,Youtube,,Video,video/mp4,eng,Public domain,
coll004,,,,,,,,,,,,,,,,,,
coll005,,,,,,,,,,,,,,,,,,
coll006,,,,,,,,,,,,,,,,,,
coll007,,,,,,,,,,,,,,,,,,
coll008,,,,,,,,,,,,,,,,,,
coll009,,,,,,,,,,,,,,,,,,
coll010,,,,,,,,,,,,,,,,,,
coll011,,,,,,,,,,,,,,,,,,
coll012,,,,,,,,,,,,,,,,,,
coll013,,,,,,,,,,,,,,,,,,